[2022-04-22T08:01:19.058Z] | error | function buscarplacavahiculo(unknown, integer) does not exist
[2022-04-22T08:02:48.615Z] | error | undefined
[2022-04-22T08:03:22.257Z] | error | undefined
[2022-04-22T08:03:38.137Z] | error | undefined
[2022-04-22T08:04:12.112Z] | error | undefined
[2022-04-22T08:05:04.883Z] | error | undefined
[2022-04-22T08:05:05.199Z] | error | undefined
[2022-04-22T08:05:11.662Z] | error | undefined
[2022-04-22T08:06:32.795Z] | error | undefined
[2022-04-22T08:07:25.209Z] | error | undefined
[2022-04-22T08:07:54.021Z] | error | undefined
[2022-04-22T08:08:22.323Z] | error | undefined
[2022-04-22T08:08:45.969Z] | error | undefined
[2022-04-22T08:09:45.089Z] | error | undefined
[2022-04-22T08:13:10.270Z] | error | undefined
[2022-04-22T08:17:35.590Z] | error | undefined
[2022-04-22T08:18:07.472Z] | error | undefined
[2022-04-22T08:20:25.498Z] | error | undefined
[2022-04-22T08:21:13.344Z] | error | undefined
[2022-04-22T08:22:52.884Z] | error | undefined
[2022-04-22T08:24:51.333Z] | error | undefined
[2022-04-22T08:25:49.653Z] | error | undefined
[2022-04-22T08:27:24.335Z] | error | undefined
[2022-04-22T08:31:11.594Z] | error | undefined
[2022-04-22T08:51:54.980Z] | error | Cannot read property 'models' of undefined
[2022-04-22T08:52:57.115Z] | error | Cannot read property 'models' of undefined
[2022-04-22T08:53:39.292Z] | error | Unexpected token u in JSON at position 0
[2022-04-22T08:54:06.809Z] | error | Unexpected token u in JSON at position 0
[2022-04-22T08:55:38.948Z] | error | Cannot read property 'models' of undefined
[2022-04-22T08:57:27.742Z] | error | Cannot read property 'models' of undefined
[2022-04-22T08:59:54.801Z] | error | undefined
[2022-04-22T08:59:54.935Z] | error | undefined
[2022-04-22T08:59:57.914Z] | error | undefined
[2022-04-22T08:59:58.360Z] | error | undefined
[2022-04-22T09:01:02.386Z] | error | undefined
[2022-04-22T09:01:32.874Z] | error | undefined
[2022-04-22T09:01:37.903Z] | error | undefined
[2022-04-22T09:02:38.903Z] | error | Cannot read property 'f_num_placa' of undefined
[2022-04-22T09:02:40.393Z] | error | Cannot read property 'f_num_placa' of undefined
