[2022-05-25T05:06:46.745Z] | error | syntax error at or near "selec"
[2022-05-25T05:06:58.983Z] | error | relation "ns.numero_servicio" does not exist
[2022-05-25T05:50:21.021Z] | error | column "undefined" does not exist
[2022-05-25T06:25:38.704Z] | error | undefined
[2022-05-25T06:25:38.704Z] | error | undefined
[2022-05-25T06:25:38.704Z] | error | undefined
[2022-05-25T06:25:38.704Z] | error | undefined
[2022-05-25T06:33:51.187Z] | error | undefined
[2022-05-25T06:33:51.719Z] | error | undefined
[2022-05-25T06:33:58.437Z] | error | undefined
[2022-05-25T06:34:04.703Z] | error | undefined
[2022-05-25T06:34:07.015Z] | error | undefined
[2022-05-25T06:34:07.109Z] | error | undefined
[2022-05-26T04:15:33.059Z] | error | undefined
[2022-05-26T04:15:33.074Z] | error | undefined
[2022-05-26T04:15:33.079Z] | error | undefined
[2022-05-26T04:15:33.079Z] | error | undefined
[2022-05-26T04:15:33.340Z] | error | undefined
[2022-05-26T04:15:35.684Z] | error | undefined
